 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH02_0077_S01	geneSets_broadCancer	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE (pc_up (4/87))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up FGF1,FRS2,GAB1,PIK3R1 and pd_up FRS2,GAB1,SOS1						
TH02_0077_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_DN (comm_up (6/144) and pc_up (8/144) and pd_up (8/144))	druggable: AKT3 (pd)	overlap_genes_in_pc_up ADD3,APBB2,ARHGEF9,LPAR1,MAP1B,MMP16,NFIB,NIPBL and pd_up AKT3,APBB2,ARHGEF9,MAP1B,MMP16,NFIB,NIPBL,PHF3						
TH02_0077_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (pc_up (11/396) and pd_up (7/396))	druggable: AKT3 (pd)	overlap_genes_in_pc_up CDK19,CNTN1,CREB1,DPYSL2,EGR2,NCAM1,NCAN,SEMA3E,SEMA6D,SLIT1,TCF12 and pd_up AKT3,CREB1,CSNK2A2,MED21,SEMA3E,SOS1,TBL1XR1						
TH02_0077_S01	geneSets_nonCancer	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION (pc_up (3/42))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ATP1A2,ATP1B2,PIK3R1 and pd_up NA						
TH02_0077_S01	geneSets_nonCancer	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES (pd_up (4/67))	druggable: AKT3 (pd)	overlap_genes_in_pc_up CREB1,GAB1 and pd_up AKT3,CREB1,GAB1,SOS1						
TH02_0078_S01	new sample									
TH02_0078_S01	Disease	glioma								
TH02_0078_S01	druggableUpOutlier	AKT3	pd		PI3K/AKT/mTOR	PI3K/AKT/mTOR	AKT3	KEGG_GLIOMA (comm_up (3/65) and pc_up (5/65) and pd_up (6/65))		identified in previous manual review
TH02_0078_S01	druggableUpOutlier	BRAF	pd		RAS/RAF/MEK	RAS/RAF/MEK	BRAF	KEGG_GLIOMA (comm_up (3/65) and pc_up (5/65) and pd_up (6/65))		identified in previous manual review
TH02_0078_S01	druggableUpOutlier	CDK6	pc, pd		Cell Cycle	Cell Cycle	CDK6	KEGG_GLIOMA (comm_up (3/65) and pc_up (5/65) and pd_up (6/65))		identified in previous manual review
TH02_0078_S01	druggableUpOutlier	PDGFRA	pc, pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	PDGFRA	KEGG_GLIOMA (comm_up (3/65) and pc_up (5/65) and pd_up (6/65))		identified in previous manual review
TH02_0078_S01	druggableUpOutlier	PIK3R1	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3R1	KEGG_GLIOMA (comm_up (3/65) and pc_up (5/65) and pd_up (6/65))		identified in previous manual review
TH02_0078_S01	geneSets_priority1	BIOCARTA_PPARA_PATHWAY (comm_up (3/58) and pc_up (5/58) and pd_up (4/58))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CREBBP,NCOA1,PIK3R1,PPARGC1A,PRKCB and pd_up CREBBP,NCOA1,NRIP1,PPARGC1A						
TH02_0078_S01	geneSets_priority1	KEGG_CALCIUM_SIGNALING_PATHWAY (comm_up (5/178) and pc_up (7/178) and pd_up (6/178))	druggable: PDGFRA (pc and pd)	overlap_genes_in_pc_up ATP2B2,CAMK2A,PDGFRA,PPP3CA,PRKCB,PRKX,SLC8A1 and pd_up CAMK2A,ITPR1,PDGFRA,PPP3CA,PRKX,SLC8A1						
TH02_0078_S01	geneSets_priority1	KEGG_MAPK_SIGNALING_PATHWAY (comm_up (8/267) and pc_up (12/267) and pd_up (12/267))	druggable: AKT3 (pd), BRAF (pd), PDGFRA (pc and pd)	overlap_genes_in_pc_up ELK4,MAP4K3,NF1,NLK,PDGFRA,PPM1B,PPP3CA,PRKCB,PRKX,TAB2,TAOK1,TGFB2 and pd_up AKT3,BRAF,ELK4,MAP4K3,MEF2C,NLK,PDGFRA,PPP3CA,PRKX,SOS1,TAB2,TAOK1						
TH02_0078_S01	geneSets_priority1	PID_CMYB_PATHWAY (comm_up (5/84) and pc_up (5/84) and pd_up (5/84))	druggable: CDK6 (pc and pd)	overlap_genes_in_pc_up CDK6,CREBBP,NLK,PPP3CA,TAB2 and pd_up CDK6,CREBBP,NLK,PPP3CA,TAB2						
TH02_0078_S01	geneSets_priority1	PID_RB_1PATHWAY (comm_up (3/65) and pc_up (4/65) and pd_up (4/65))	druggable: CDK6 (pc and pd)	overlap_genes_in_pc_up CDK6,CREBBP,TAF1,TGFB2 and pd_up CDK6,CREBBP,MEF2C,TAF1						
TH02_0078_S01	geneSets_priority1	REACTOME_G_ALPHA1213_SIGNALLING_EVENTS (comm_up (4/74) and pc_up (6/74) and pd_up (6/74))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ARHGEF9,FGD4,GNG3,PIK3R1,ROCK2,TIAM2 and pd_up AKAP13,ARHGEF9,FGD4,ROCK2,SOS1,TIAM2						
TH02_0078_S01	geneSets_priority1	REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL (comm_up (4/137) and pc_up (12/137) and pd_up (6/137))	druggable: BRAF (pd)	overlap_genes_in_pc_up ACTN2,ARHGEF9,CAMK2A,CREB1,GABRA1,GABRB1,GNG3,GRIA2,GRIA3,KCNJ10,NEFL,PRKCB and pd_up AKAP9,ARHGEF9,BRAF,CAMK2A,CREB1,GABRA1						
TH02_0078_S01	geneSets_priority1	REACTOME_SIGNALLING_BY_NGF (pc_up (8/217) and pd_up (10/217))	druggable: AKT3 (pd), BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ADCYAP1R1,ARHGEF9,CREB1,FGD4,OMG,PHLPP1,PIK3R1,TIAM2 and pd_up AKAP13,AKT3,ARHGEF9,BRAF,CREB1,FGD4,MEF2C,PRKCI,SOS1,TIAM2						
TH02_0078_S01	geneSets_priority1	ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS (comm_up (3/45) and pc_up (4/45) and pd_up (4/45))	druggable: BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,CREBBP,MAP1B,PIK3R1 and pd_up BRAF,CREB1,CREBBP,MAP1B						
TH02_0078_S01	geneSets_priority1	BIOCARTA_EIF4_PATHWAY (pc_up (3/24) and pd_up (3/24))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up EIF4G3,PIK3R1,PRKCB and pd_up EIF4A2,EIF4G3,RPS6KB1						
TH02_0078_S01	geneSets_priority1	BIOCARTA_RAC1_PATHWAY (pc_up (3/23) and pd_up (3/23))	druggable: PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CHN1,PDGFRA,PIK3R1 and pd_up CHN1,PDGFRA,RPS6KB1						
TH02_0078_S01	geneSets_priority1	KEGG_CHEMOKINE_SIGNALING_PATHWAY (pc_up (8/190) and pd_up (6/190))	druggable: AKT3 (pd), BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CCL3L3,CX3CR1,GNG3,PIK3R1,PRKCB,PRKX,ROCK2,TIAM2 and pd_up AKT3,BRAF,PRKX,ROCK2,SOS1,TIAM2						
TH02_0078_S01	geneSets_priority1	PID_AR_PATHWAY (comm_up (3/61) and pd_up (5/61))	druggable: CDK6 (pc and pd)	overlap_genes_in_pc_up CDK6,KDM3A,TCF4 and pd_up CDK6,KDM3A,NRIP1,PIAS1,TCF4						
TH02_0078_S01	geneSets_priority1	PID_ATF2_PATHWAY (comm_up (3/59) and pc_up (5/59))	druggable: PDGFRA (pc and pd)	overlap_genes_in_pc_up CREB1,NF1,PDGFRA,PPARGC1A,TGFB2 and pd_up CREB1,PDGFRA,PPARGC1A						
TH02_0078_S01	geneSets_priority1	PID_IL1_PATHWAY (pc_up (3/34) and pd_up (3/34))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ERC1,PIK3R1,TAB2 and pd_up ERC1,PRKCI,TAB2						
TH02_0078_S01	geneSets_priority1	PID_NETRIN_PATHWAY (pc_up (3/32) and pd_up (3/32))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2A,MAP1B,PIK3R1 and pd_up CAMK2A,MAP1B,MYO10						
TH02_0078_S01	geneSets_priority1	PID_PI3K_PLC_TRK_PATHWAY (pc_up (4/36) and pd_up (3/36))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2A,CREB1,GAB1,PIK3R1 and pd_up CAMK2A,CREB1,SOS1						
TH02_0078_S01	geneSets_priority1	REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS (pc_up (4/27) and pd_up (4/27))	druggable: BRAF (pd)	overlap_genes_in_pc_up ACTN2,CAMK2A,CREB1,NEFL and pd_up AKAP9,BRAF,CAMK2A,CREB1						
TH02_0078_S01	geneSets_priority1	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM (pd_up (8/270))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2A,EIF4G3,IFNAR1,NCAM1,PIK3R1,PPM1B,TAB2 and pd_up CAMK2A,EIF4A2,EIF4G3,IFNAR1,PIAS1,SOS1,TAB2,TPR						
TH02_0078_S01	geneSets_priority1	REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS (pc_up (4/33) and pd_up (4/33))	druggable: BRAF (pd)	overlap_genes_in_pc_up ACTN2,CAMK2A,CREB1,NEFL and pd_up AKAP9,BRAF,CAMK2A,CREB1						
TH02_0078_S01	geneSets_priority1	BIOCARTA_CTCF_PATHWAY (pc_up (3/23))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up PIK3R1,SMAD5,TGFB2 and pd_up RPS6KB1,SMAD5						
TH02_0078_S01	geneSets_priority1	BIOCARTA_EDG1_PATHWAY (pc_up (3/27))	druggable: PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up PDGFRA,PIK3R1,PRKCB and pd_up PDGFRA						
TH02_0078_S01	geneSets_priority1	BIOCARTA_MAPK_PATHWAY (pd_up (5/87))	druggable: BRAF (pd)	overlap_genes_in_pc_up CREB1,MAP4K3,TGFB2 and pd_up BRAF,CREB1,MAP4K3,MEF2C,RPS6KB1						
TH02_0078_S01	geneSets_priority1	BIOCARTA_MTOR_PATHWAY (pd_up (3/23))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up EIF4G3,PIK3R1 and pd_up EIF4A2,EIF4G3,RPS6KB1						
TH02_0078_S01	geneSets_priority1	BIOCARTA_NFAT_PATHWAY (pd_up (4/56))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CREBBP,PIK3R1,PPP3CA and pd_up CREBBP,MEF2C,PPP3CA,RPS6KB1						
TH02_0078_S01	geneSets_priority1	BIOCARTA_PDGF_PATHWAY (pc_up (3/32))	druggable: PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up PDGFRA,PIK3R1,PRKCB and pd_up PDGFRA,SOS1						
TH02_0078_S01	geneSets_priority1	HALLMARK_HEDGEHOG_SIGNALING (pc_up (4/36))	druggable: CDK6 (pc and pd)	overlap_genes_in_pc_up CDK6,NF1,OPHN1,RTN1 and pd_up CDK6						
TH02_0078_S01	geneSets_priority1	KEGG_ERBB_SIGNALING_PATHWAY (pd_up (5/87))	druggable: AKT3 (pd), BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2A,GAB1,PIK3R1,PRKCB and pd_up AKT3,BRAF,CAMK2A,RPS6KB1,SOS1						
TH02_0078_S01	geneSets_priority1	KEGG_INSULIN_SIGNALING_PATHWAY (pd_up (7/137))	druggable: AKT3 (pd), BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up PIK3R1,PPARGC1A,PRKX and pd_up AKT3,BRAF,PPARGC1A,PRKCI,PRKX,RPS6KB1,SOS1						
TH02_0078_S01	geneSets_priority1	KEGG_JAK_STAT_SIGNALING_PATHWAY (pd_up (6/155))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREBBP,IFNAR1,LIFR,PIK3R1 and pd_up AKT3,CREBBP,IFNAR1,PIAS1,SOS1,STAM2						
TH02_0078_S01	geneSets_priority1	PID_AR_NONGENOMIC_PATHWAY (pc_up (3/31))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,GNAO1,PIK3R1 and pd_up CREB1						
TH02_0078_S01	geneSets_priority1	PID_FGF_PATHWAY (pc_up (4/55))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2A,GAB1,NCAM1,PIK3R1 and pd_up CAMK2A,SOS1						
TH02_0078_S01	geneSets_priority1	PID_MAPK_TRK_PATHWAY (pd_up (3/34))	druggable: BRAF (pd)	overlap_genes_in_pc_up CREB1 and pd_up BRAF,CREB1,MEF2C						
TH02_0078_S01	geneSets_priority1	PID_NCADHERIN_PATHWAY (pc_up (4/33))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CNR1,GAP43,GRIA2,PIK3R1 and pd_up NA						
TH02_0078_S01	geneSets_priority1	PID_REELIN_PATHWAY (pc_up (3/29))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up DAB1,MAP1B,PIK3R1 and pd_up DAB1,MAP1B						
TH02_0078_S01	geneSets_priority1	PID_RET_PATHWAY (pc_up (4/39))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,DOK5,GAB1,PIK3R1 and pd_up CREB1,SOS1						
TH02_0078_S01	geneSets_priority1	PID_THROMBIN_PAR1_PATHWAY (pc_up (4/43))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up GNAO1,PIK3R1,PRKCB,ROCK2 and pd_up AKAP13,ROCK2						
TH02_0078_S01	geneSets_priority1	PID_TRKR_PATHWAY (pd_up (4/62))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up GAB1,NTRK3,PIK3R1 and pd_up ARHGAP32,NEDD4L,PRKCI,SOS1						
TH02_0078_S01	geneSets_priority1	REACTOME_GAB1_SIGNALOSOME (pc_up (4/38))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,GAB1,PHLPP1,PIK3R1 and pd_up AKT3,CREB1						
TH02_0078_S01	geneSets_priority1	REACTOME_PI_3K_CASCADE (pc_up (4/56))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,GAB1,PHLPP1,PIK3R1 and pd_up AKT3,CREB1						
TH02_0078_S01	geneSets_priority1	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING (pc_up (4/44))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,GAB1,PHLPP1,PIK3R1 and pd_up AKT3,CREB1						
TH02_0078_S01	geneSets_priority1	REACTOME_SIGNALING_BY_ERBB4 (pc_up (5/90))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,GFAP,PHLPP1,PIK3R1,TAB2 and pd_up AKT3,CREB1,SOS1,TAB2						
TH02_0078_S01	geneSets_priority1	REACTOME_SIGNALING_BY_GPCR (pc_up (17/920))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ADCYAP1R1,ARHGEF9,CCL3L3,CNR1,CREB1,CX3CR1,FGD4,GNAO1,GNG3,NPY,PIK3R1,PPP3CA,PRKCB,RGS8,ROCK2,SST,TIAM2 and pd_up AKAP13,AKT3,ARHGEF9,CREB1,FGD4,NPY,PPP3CA,RGS8,ROCK2,SOS1,TIAM2						
TH02_0078_S01	geneSets_priority1	SIG_BCR_SIGNALING_PATHWAY (pd_up (4/46))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up PIK3R1,PPP3CA and pd_up AKT3,ITPR1,PPP3CA,SOS1						
TH02_0078_S01	geneSets_priority1	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES (pd_up (3/36))	druggable: AKT3 (pd)	overlap_genes_in_pc_up GAB1 and pd_up AKT3,ITPR1,RPS6KB1						
TH02_0078_S01	geneSets_priority1	ST_ADRENERGIC (pd_up (3/36))	druggable: BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up APC,PIK3R1 and pd_up APC,BRAF,ITPR1						
TH02_0078_S01	geneSets_priority1	ST_ERK1_ERK2_MAPK_PATHWAY (pd_up (3/32))	druggable: BRAF (pd)	overlap_genes_in_pc_up CREB1 and pd_up BRAF,CREB1,SOS1						
TH02_0078_S01	geneSets_priority1	ST_G_ALPHA_I_PATHWAY (pd_up (4/35))	druggable: AKT3 (pd), BRAF (pd)	overlap_genes_in_pc_up NA and pd_up AKT3,BRAF,ITPR1,SOS1						
TH02_0078_S01	geneSets_priority1	ST_INTERLEUKIN_4_PATHWAY (pd_up (3/26))	druggable: AKT3 (pd)	overlap_genes_in_pc_up NA and pd_up AKT3,RPS6KB1,SOS1						
TH02_0078_S01	geneSets_priority1	ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY (pd_up (3/37))	druggable: AKT3 (pd)	overlap_genes_in_pc_up NA and pd_up AKT3,RPS6KB1,SOS1						
TH02_0078_S01	geneSets_priority1	ST_WNT_BETA_CATENIN_PATHWAY (pd_up (3/34))	druggable: AKT3 (pd)	overlap_genes_in_pc_up APC and pd_up AKT3,APC,SENP2						
TH02_0078_S01	geneSets_broadCancer	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES (comm_up (6/186) and pc_up (20/186) and pd_up (8/186))	druggable: BRAF (pd)	overlap_genes_in_pc_up ACTN2,ARHGEF9,CAMK2A,CREB1,GABRA1,GABRB1,GAD2,GNG3,GRIA2,GRIA3,KCNJ10,NEFL,PRKCB,RAB3A,SLC1A2,SLC1A3,SLC6A1,SLC6A11,SNAP25,SYT1 and pd_up AKAP9,ARHGEF9,BRAF,CAMK2A,CREB1,GABRA1,GAD2,SLC1A2						
TH02_0078_S01	geneSets_broadCancer	KEGG_GLIOMA (comm_up (3/65) and pc_up (5/65) and pd_up (6/65))	druggable: AKT3 (pd), BRAF (pd), CDK6 (pc and pd), PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2A,CDK6,PDGFRA,PIK3R1,PRKCB and pd_up AKT3,BRAF,CAMK2A,CDK6,PDGFRA,SOS1						
TH02_0078_S01	geneSets_broadCancer	REACTOME_NEURONAL_SYSTEM (comm_up (7/279) and pc_up (22/279) and pd_up (9/279))	druggable: BRAF (pd)	overlap_genes_in_pc_up ACTN2,ARHGEF9,CAMK2A,CREB1,GABRA1,GABRB1,GAD2,GNG3,GRIA2,GRIA3,KCNC2,KCNJ10,KCNN3,NEFL,PRKCB,RAB3A,SLC1A2,SLC1A3,SLC6A1,SLC6A11,SNAP25,SYT1 and pd_up AKAP9,ARHGEF9,BRAF,CAMK2A,CREB1,GABRA1,GAD2,KCNC2,SLC1A2						
TH02_0078_S01	geneSets_broadCancer	BIOCARTA_CREB_PATHWAY (pc_up (4/27) and pd_up (3/27))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2A,CREB1,PIK3R1,PRKCB and pd_up CAMK2A,CREB1,SOS1						
TH02_0078_S01	geneSets_broadCancer	KEGG_RENAL_CELL_CARCINOMA (pc_up (4/70) and pd_up (4/70))	druggable: AKT3 (pd), BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREBBP,GAB1,PIK3R1,TGFB2 and pd_up AKT3,BRAF,CREBBP,SOS1						
TH02_0078_S01	geneSets_broadCancer	KEGG_TIGHT_JUNCTION (pc_up (6/134) and pd_up (5/134))	druggable: AKT3 (pd)	overlap_genes_in_pc_up ACTN2,CASK,JAM2,MPP5,PPP2R2B,PRKCB and pd_up AKT3,ASH1L,CASK,MPP5,PRKCI						
TH02_0078_S01	geneSets_broadCancer	REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS (pc_up (6/37) and pd_up (4/37))	druggable: BRAF (pd)	overlap_genes_in_pc_up ACTN2,CAMK2A,CREB1,GRIA2,GRIA3,NEFL and pd_up AKAP9,BRAF,CAMK2A,CREB1						
TH02_0078_S01	geneSets_broadCancer	REACTOME_CELL_CYCLE (pd_up (11/421))	druggable: CDK6 (pc and pd)	overlap_genes_in_pc_up CDK6,HIST1H2BF,HIST1H4E,KIF2A,RSF1,SYNE2,TAOK1 and pd_up AKAP9,ALMS1,CDC27,CDK5RAP2,CDK6,HIST1H2BC,HIST1H2BF,HIST1H4E,POLD3,SYNE2,TAOK1						
TH02_0078_S01	geneSets_broadCancer	REACTOME_HEMOSTASIS (pc_up (15/466))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ACTN2,ATP1B2,ATP2B2,CREBBP,GNG3,HIST1H3B,JAM2,JMJD1C,KIF2A,KIF5A,PIK3R1,PRKCB,SCG3,SLC8A1,TGFB2 and pd_up AKT3,CREBBP,HIST1H3B,SLC8A1,SOS1						
TH02_0078_S01	geneSets_broadCancer	KEGG_ACUTE_MYELOID_LEUKEMIA (pd_up (4/60))	druggable: AKT3 (pd), BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up PIK3R1 and pd_up AKT3,BRAF,RPS6KB1,SOS1						
TH02_0078_S01	geneSets_broadCancer	KEGG_CHRONIC_MYELOID_LEUKEMIA (pd_up (4/73))	druggable: AKT3 (pd), BRAF (pd), CDK6 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CDK6,PIK3R1,TGFB2 and pd_up AKT3,BRAF,CDK6,SOS1						
TH02_0078_S01	geneSets_broadCancer	KEGG_ENDOMETRIAL_CANCER (pd_up (4/52))	druggable: AKT3 (pd), BRAF (pd), PIK3R1 (pc)	overlap_genes_in_pc_up APC,PIK3R1 and pd_up AKT3,APC,BRAF,SOS1						
TH02_0078_S01	geneSets_broadCancer	KEGG_MELANOMA (pd_up (4/71))	druggable: AKT3 (pd), BRAF (pd), CDK6 (pc and pd), PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CDK6,PDGFRA,PIK3R1 and pd_up AKT3,BRAF,CDK6,PDGFRA						
TH02_0078_S01	geneSets_broadCancer	KEGG_NON_SMALL_CELL_LUNG_CANCER (pd_up (4/54))	druggable: AKT3 (pd), BRAF (pd), CDK6 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CDK6,PIK3R1,PRKCB and pd_up AKT3,BRAF,CDK6,SOS1						
TH02_0078_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (9/328))	druggable: AKT3 (pd), BRAF (pd), CDK6 (pc and pd), PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up APC,CDK6,CREBBP,PDGFRA,PIK3R1,PRKCB,TGFB2 and pd_up AKT3,APC,BRAF,CDK6,CREBBP,PDGFRA,PIAS1,SOS1,TPR						
TH02_0078_S01	geneSets_broadCancer	KEGG_PROSTATE_CANCER (pd_up (6/89))	druggable: AKT3 (pd), BRAF (pd), PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,CREBBP,PDGFRA,PIK3R1 and pd_up AKT3,BRAF,CREB1,CREBBP,PDGFRA,SOS1						
TH02_0078_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (comm_up (8/396) and pc_up (17/396) and pd_up (13/396))	druggable: AKT3 (pd)	overlap_genes_in_pc_up CDK19,CREB1,CREBBP,DCX,NCAM1,NCAN,NCOA1,PAX6,PPARGC1A,ROBO2,ROCK2,SCN3B,SEMA3E,SEMA6D,SRGAP3,TCF12,TCF4 and pd_up AKT3,CREB1,CREBBP,MED21,MEF2C,MYO10,NCOA1,PPARGC1A,ROCK2,SEMA3E,SEMA6D,SOS1,TCF4						
TH02_0078_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_DN (comm_up (5/144) and pc_up (6/144) and pd_up (10/144))	druggable: AKT3 (pd)	overlap_genes_in_pc_up ADD3,ARHGEF9,MAP1B,NIPBL,PHF3,PRDM2 and pd_up AKT3,ARHGEF9,ATXN1,INPP4B,LTBP1,MAP1B,NIPBL,PHF3,PRDM2,SCAF8						
TH02_0078_S01	geneSets_nonCancer	KEGG_LONG_TERM_POTENTIATION (comm_up (4/70) and pc_up (6/70) and pd_up (6/70))	druggable: BRAF (pd)	overlap_genes_in_pc_up CAMK2A,CREBBP,GRIA2,PPP3CA,PRKCB,PRKX and pd_up BRAF,CAMK2A,CREBBP,ITPR1,PPP3CA,PRKX						
TH02_0078_S01	geneSets_nonCancer	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON (pd_up (7/216))	druggable: BRAF (pd), PDGFRA (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up ACTN2,APC,PDGFRA,PIK3R1,ROCK2,TIAM2 and pd_up APC,BRAF,PDGFRA,PIP5K1A,ROCK2,SOS1,TIAM2						
TH02_0078_S01	geneSets_nonCancer	HALLMARK_PANCREAS_BETA_CELLS (pc_up (5/40))	druggable: AKT3 (pd)	overlap_genes_in_pc_up DCX,ELP4,PAX6,PCSK2,SST and pd_up AKT3,ELP4,PCSK2						
TH02_0078_S01	geneSets_nonCancer	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION (pc_up (5/42))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ATP1A2,ATP1A3,ATP1B2,PIK3R1,PRKCB and pd_up NEDD4L						
TH02_0078_S01	geneSets_nonCancer	KEGG_ENDOCYTOSIS (pd_up (6/183))	druggable: PDGFRA (pc and pd)	overlap_genes_in_pc_up ARAP2,PDGFRA and pd_up ARAP2,NEDD4L,PDGFRA,PIP5K1A,PRKCI,STAM2						
TH02_0078_S01	geneSets_nonCancer	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION (pc_up (6/118))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ACTN2,ARHGAP5,JAM2,PIK3R1,PRKCB,ROCK2 and pd_up ARHGAP5,ROCK2						
TH02_0078_S01	geneSets_nonCancer	KEGG_LONG_TERM_DEPRESSION (pc_up (4/70))	druggable: BRAF (pd)	overlap_genes_in_pc_up GNAO1,GRIA2,GRIA3,PRKCB and pd_up BRAF,ITPR1						
TH02_0078_S01	geneSets_nonCancer	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES (pd_up (4/67))	druggable: AKT3 (pd)	overlap_genes_in_pc_up CREB1,GAB1 and pd_up AKT3,CREB1,RPS6KB1,SOS1						
TH02_0079_S01	new sample									
TH02_0079_S01	Disease	glioma								
TH02_0079_S01	druggableUpOutlier	No druggableUpOutliers								
TH02_0079_S01		no enriched druggable geneSets								
TH02_0080_S01	new sample									
TH02_0080_S01	Disease	glioma								
TH02_0080_S01	druggableUpOutlier	No druggableUpOutliers								
TH02_0080_S01		no enriched druggable geneSets								
TH02_0081_S01	new sample									
TH02_0081_S01	Disease	glioblastoma multiforme								
TH02_0081_S01	druggableUpOutlier	AKT3	pd		PI3K/AKT/mTOR	PI3K/AKT/mTOR	AKT3	REACTOME_PI_3K_CASCADE (pc_up (5/56) and pd_up (6/56))		
TH02_0081_S01	druggableUpOutlier	BCL6	pc		BCL2/MDM2	BCL2/MDM2	BCL6	None		
TH02_0081_S01	druggableUpOutlier	CDK4	pc, pd		Cell Cycle	Cell Cycle	CDK4	REACTOME_CELL_CYCLE (pd_up (17/421))		
TH02_0081_S01	druggableUpOutlier	MTOR	pd		PI3K/AKT/mTOR		MTOR	None		
